time,REWS_WindField,REWS_WindField_shifted,REWS,REWS_f,REWS_b
575.25,15.752189,15.900474,16.53473621337448,15.906676779762561,15.906676779762561
575.26,15.7517052,15.902902079999999,16.534927013762328,15.906567176500241,15.906567176500241
575.27,15.7512214,15.905330159999997,16.5351174322682,15.906458462774083,15.906458462774083
575.28,15.7507376,15.907758239999994,16.535307469661333,15.90635063038035,15.90635063038035
575.29,15.750253800000001,15.910186319999992,16.535497126709373,15.906243671190941,15.906243671190941
575.3000000000001,15.749769999999996,15.912614400000017,16.535686404178435,15.906137577152734,15.906137577152734
575.3100000000001,15.749286199999997,15.915042480000015,16.535875302833066,15.906032340286862,15.906032340286862
575.32,15.748802399999997,15.917470560000012,16.536063823436265,15.905927952688039,15.905927952688039
575.33,15.748318599999998,15.91989864000001,16.536251966749486,15.905824406523882,15.905824406523882
575.34,15.747834799999998,15.922326720000008,16.536439733532628,15.90572169403422,15.90572169403422
575.35,15.747350999999998,15.924754800000006,16.53662712454406,15.905619807530456,15.905619807530456
575.36,15.746867199999999,15.927182880000004,16.536814140540606,15.906331195395147,15.906331195395147
575.37,15.7463834,15.929610960000002,16.537000782277552,15.907040424202098,15.907040424202098
575.38,15.7458996,15.93203904,16.53718705050866,15.907310604004529,15.907310604004529
575.39,15.7454158,15.934467119999997,16.537372945986153,15.907590258036457,15.907590258036457
575.4,15.744932,15.936895199999995,16.537558469460734,15.907868968036276,15.907868968036276
575.41,15.7444482,15.939323279999993,16.537743621681578,15.908146737093885,15.908146737093885
575.42,15.743964400000001,15.94175135999999,16.537844294206938,15.908339496456056,15.908339496456056
575.4300000000001,15.743480599999996,15.944179440000015,16.537860655833285,15.908447454409329,15.908447454409329
575.44,15.742996799999997,15.946607520000013,16.537876984209213,15.908554890527052,15.908554890527052
575.45,15.742512999999997,15.94903560000001,16.537893279406987,15.908661806803487,15.908661806803487
575.46,15.742029199999998,15.951463680000009,16.537909541498692,15.908768205229894,15.908768205229894
575.47,15.741545399999998,15.953891760000007,16.537925770556257,15.908874087794498,15.908874087794498
575.48,15.741061599999998,15.956319840000004,16.537941966651434,15.90897945648241,15.90897945648241
575.49,15.740577799999999,15.958747920000002,16.537958129855816,15.909084313275578,15.909084313275578
575.5,15.740094,15.961176,16.54559057536704,15.917234226673797,15.917234226673797
575.51,15.737818440000002,15.963020719999998,16.545881832010075,15.918041070483566,15.918041070483566
575.52,15.735542880000004,15.964865439999997,16.54617258837546,15.918845532842678,15.918845532842678
575.53,15.733267320000005,15.966710159999995,16.54646284534268,15.919647614295942,15.919647614295942
575.54,15.730991760000007,15.968554879999994,16.546752603789628,15.920447315502718,15.920447315502718
575.5500000000001,15.728716199999983,15.970399600000013,16.54704186459259,15.921244637235038,15.921244637235038
575.5600000000001,15.726440639999986,15.972244320000012,16.547330628626263,15.922039580375728,15.922039580375728
575.57,15.724165079999988,15.97408904000001,16.547618896763762,15.922832145916583,15.922832145916583
575.58,15.72188951999999,15.975933760000007,16.547906669876603,15.923622334956528,15.923622334956528
575.59,15.719613959999991,15.977778480000007,16.54819394883473,15.924410148699856,15.924410148699856
575.6,15.717338399999994,15.979623200000004,16.548480734506498,15.924844995335464,15.924844995335464
575.61,15.715062839999996,15.981467920000004,16.548767027758696,15.92527850128892,15.92527850128892
575.62,15.712787279999999,15.983312640000001,16.549052829456524,15.925710670640361,15.925710670640361
575.63,15.71051172,15.98515736,16.54933814046362,15.926141507467895,15.926141507467895
575.64,15.708236160000002,15.987002079999998,16.549622961642054,15.926571015847388,15.926571015847388
575.65,15.705960600000004,15.988846799999997,16.54990729385233,15.926999199852323,15.926999199852323
575.66,15.703685040000007,15.990691519999995,16.550191137953377,15.927426063553597,15.927426063553597
575.67,15.701409480000008,15.992536239999994,16.550474494802586,15.927851611019376,15.927851611019376
575.6800000000001,15.699133919999985,15.994380960000013,16.550757365255777,15.928275846314916,15.928275846314916
575.69,15.696858359999986,15.99622568000001,16.55103975016722,15.928698773502402,15.928698773502402
575.7,15.694582799999989,15.99807040000001,16.55132165038964,15.929120396640798,15.929120396640798
575.71,15.692307239999991,15.999915120000008,16.5516030667742,15.929540719785663,15.929540719785663
