,mean_Wind1VelX,mean_GenPwr,DEL_4_TwrBsMyt,DEL_4_RotTorq,DEL_10_RootMyb1,Overshoot_GenSpeed,Travel_BldPitch1,max_GenTq
SimulationResults_LAC_4BeamPulsed\URef_16_Seed_04.outb,15.99996369944143,14982.653472246184,296740.70197519753,976.7572641795008,63110.378222213665,0.09860314722607491,95.96542644500758,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_16_Seed_05.outb,16.000030446391794,14988.069718375822,292275.27995739575,998.0131401536461,68739.4223349763,0.09058898948307577,92.89846467971806,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_16_Seed_06.outb,16.000024208398973,14978.334914897607,252163.62537395256,860.9401531403435,59450.78466064481,0.09222007809659659,89.69615077972398,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_18_Seed_01.outb,18.00006854103266,14985.562141019034,326006.61011345027,1093.9371158566437,68573.37253921198,0.10973289867183784,87.47650623321556,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_18_Seed_02.outb,17.999898437609193,14978.077690642187,268787.005845974,966.1498382737035,67008.10516317483,0.09335553274549843,83.27140331268305,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_18_Seed_03.outb,17.999958305909622,14986.357482563026,302316.4331719753,1040.7154678846641,68575.8565648767,0.09578576647631656,93.06616306304932,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_18_Seed_04.outb,18.000007731276614,14982.741468602217,307457.5843225919,1030.5000567819627,66664.26766745292,0.08327621245865185,87.55560207366976,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_18_Seed_05.outb,18.000121805355505,14987.854864656954,284462.7431880542,1089.591113939904,69694.00027087313,0.09845631140657465,93.45206022262599,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_18_Seed_06.outb,18.000002130563377,14986.976306645955,277860.5560147578,933.5204441530359,63408.83008367625,0.10008601239637177,75.02364635467539,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_20_Seed_01.outb,19.999913912699007,14985.609692762748,324172.3060982192,1157.762694283223,69624.13813201342,0.08428715941524542,72.87062454223623,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_20_Seed_02.outb,19.999948384406622,14978.717252574328,314191.088017686,1139.2563315478326,74005.53100396675,0.11612454583888164,76.59196758270267,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_20_Seed_03.outb,19.999940795621878,14992.528677584516,332491.45557235915,1199.9461715291816,73193.89988070734,0.0793638704432044,78.33240890502954,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_20_Seed_04.outb,19.999986395423917,14983.788887271718,352790.3596096004,1137.481712537057,76912.95607015736,0.09205444628301959,78.25198650360151,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_20_Seed_05.outb,19.999990352235564,14986.756815287703,287435.1446747032,1054.785517328992,66701.04205546516,0.0920295952036024,77.83580398559607,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_20_Seed_06.outb,20.000099698234774,14980.761512516503,340340.9389577482,1193.672877589511,73048.53071546125,0.09845643755418591,86.59841823577884,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_22_Seed_01.outb,21.999996520889763,14983.297005836304,347510.2205485195,1235.5776089036847,74698.42177220398,0.1293916162621296,87.47030448913603,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_22_Seed_02.outb,21.999921634021852,14986.891326523471,370978.45577186963,1236.2631143956935,76552.46057340695,0.1150316029349724,91.6272954940797,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_22_Seed_03.outb,22.000015091740593,14985.734798331025,315394.4749059319,1233.6172882359194,81648.01231995526,0.0915311859915357,86.55522823333754,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_22_Seed_04.outb,22.000025920308044,14979.136125032714,328656.36419530434,1197.5210165125507,74721.78659212745,0.08603329465023038,80.89117527008119,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_22_Seed_05.outb,22.000001420627243,14987.164857283247,336009.3588975041,1214.8377241389844,76735.52073753915,0.1098768330962793,81.81808185577397,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_22_Seed_06.outb,22.00009273282215,14993.101226203295,326482.41699085047,1177.695486016461,76401.85862415028,0.08009880642637314,80.0379266738895,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_24_Seed_01.outb,24.000045094881745,14987.100906507807,383336.4570900795,1378.3957938942851,82684.65106824547,0.148529218070329,90.05433177947998,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_24_Seed_02.outb,24.000030916305022,14991.862150271772,368154.19965359854,1300.9300515777604,82919.38192887249,0.21056066598578865,75.07640361785887,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_24_Seed_03.outb,24.00019684280148,14990.331599536989,348495.9699300285,1276.2138312721759,83681.31834543982,0.1311290473119381,77.03728389740014,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_24_Seed_04.outb,24.00005739009027,14989.016638406621,365700.5941761572,1266.6889651109984,82302.08489549215,0.16767804701593006,85.4258012771604,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_24_Seed_05.outb,23.9999916822259,14979.094660157634,382326.30587988114,1347.209311152267,87338.04243024885,0.1716668344837978,77.89597320556652,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_24_Seed_06.outb,23.999953050419293,14986.983743380672,370129.841831361,1293.2286101979496,88226.04417869233,0.11144333413283777,73.57055664062516,19786.76953125
